"x"
"1"	" "
"2"	"-"
"3"	","
"4"	":"
"5"	"?"
"6"	"."
"7"	"'"
"8"	"("
"9"	")"
"10"	"["
"11"	"]"
"12"	"1"
"13"	"a"
"14"	"b"
"15"	"c"
"16"	"d"
"17"	"e"
"18"	"f"
"19"	"g"
"20"	"G"
"21"	"h"
"22"	"i"
"23"	"I"
"24"	"k"
"25"	"l"
"26"	"L"
"27"	"m"
"28"	"n"
"29"	"N"
"30"	"o"
"31"	"p"
"32"	"P"
"33"	"r"
"34"	"s"
"35"	"S"
"36"	"t"
"37"	"u"
"38"	"v"
"39"	"w"
"40"	"y"
